Night at Track #1,https://www.tfrrs.org/results/82512/Night_at_Track_1_
2023 USATFNE Season Opener,https://www.tfrrs.org/results/82144/2023_USATFNE_Season_Opener
2023 UMass Boston Beacon Invitational,https://www.tfrrs.org/results/81780/2023_UMass_Boston_Beacon_Invitational
Dutch Holiday Preview 2024,https://www.tfrrs.org/results/81941/Dutch_Holiday_Preview_2024
USM Alumni Open,https://www.tfrrs.org/results/81959/USM_Alumni_Open
Crimson & Gold Invitational,https://www.tfrrs.org/results/81769/Crimson__Gold_Invitational
CSS Opener 2023,https://www.tfrrs.org/results/81998/CSS_Opener_2023
Joe Handelman Invitational,https://www.tfrrs.org/results/81654/Joe_Handelman_Invitational
Mountaineer Open,https://www.tfrrs.org/results/81799/Mountaineer_Open
Titan First Chance 2023,https://www.tfrrs.org/results/82031/Titan_First_Chance_2023
JD Martin Invitational,https://www.tfrrs.org/results/81664/JD_Martin_Invitational
Plymouth Winter Classic,https://www.tfrrs.org/results/82325/Plymouth_Winter_Classic
Edmunds-Wilt Invite,https://www.tfrrs.org/results/82326/Edmunds-Wilt_Invite
Jimmy Grant Invite,https://www.tfrrs.org/results/81398/Jimmy_Grant_Invite
2023 Spokane Invitational,https://www.tfrrs.org/results/81489/2023_Spokane_Invitational
Mount Union Toy Drive,https://www.tfrrs.org/results/81836/Mount_Union_Toy_Drive
BGSU-Tom Wright Opener,https://www.tfrrs.org/results/81837/BGSU-Tom_Wright_Opener
2023 Yale Season Opener,https://www.tfrrs.org/results/81842/2023_Yale_Season_Opener
Cardinal and Gray Alumni Meet,https://www.tfrrs.org/results/81881/Cardinal_and_Gray_Alumni_Meet
Wesleyan Winter Invite,https://www.tfrrs.org/results/81922/Wesleyan_Winter_Invite
Wyoming Power Meet,https://www.tfrrs.org/results/81931/Wyoming_Power_Meet
Morehouse Maroon Tiger Invitational,https://www.tfrrs.org/results/81619/Morehouse_Maroon_Tiger_Invitational
Warrior Indoor Invitational,https://www.tfrrs.org/results/81461/Warrior_Indoor_Invitational
Diplomat Open @ Franklin & Marshall,https://www.tfrrs.org/results/81949/Diplomat_Open__Franklin__Marshall
2023 UNK Pre-Holiday Classic,https://www.tfrrs.org/results/81752/2023_UNK_Pre-Holiday_Classic
Finals Week Invitational,https://www.tfrrs.org/results/81964/Finals_Week_Invitational
Bow Tie Invitational,https://www.tfrrs.org/results/81380/Bow_Tie_Invitational
2023 BYU December Invitational,https://www.tfrrs.org/results/81567/2023_BYU_December_Invitational
Boo Rogers Combined Events,https://www.tfrrs.org/results/81770/Boo_Rogers_Combined_Events
GVSU Holiday Open,https://www.tfrrs.org/results/81412/GVSU_Holiday_Open
Bast-Cregger Multis,https://www.tfrrs.org/results/81633/Bast-Cregger_Multis
UMaine meet #1,https://www.tfrrs.org/results/81990/UMaine_meet_1
Keiser Winter Open,https://www.tfrrs.org/results/82008/Keiser_Winter_Open_
Marshall Opener,https://www.tfrrs.org/results/81659/Marshall_Opener
